UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.040_N.30_040/30/03_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/03,IBOK,SEKOLAH KEBANGSAAN IBOK,1,372,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,150,PAS,DR. SAM,MALE,53,219,369,3,0
P.040_N.30_040/30/03_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/03,IBOK,SEKOLAH KEBANGSAAN IBOK,2,481,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,155,PAS,DR. SAM,MALE,53,324,479,2,0
P.040_N.30_040/30/03_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/03,IBOK,SEKOLAH KEBANGSAAN IBOK,3,438,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,117,PAS,DR. SAM,MALE,53,317,434,4,0
P.040_N.30_040/30/03_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/03,IBOK,SEKOLAH KEBANGSAAN IBOK,4,465,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,140,PAS,DR. SAM,MALE,53,324,464,1,0
P.040_N.30_040/30/04_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/04,BUKIT ANAK DARA,SEKOLAH KEBANGSAAN BUKIT ANAK DARA,1,324,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,130,PAS,DR. SAM,MALE,53,192,322,2,0
P.040_N.30_040/30/04_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/04,BUKIT ANAK DARA,SEKOLAH KEBANGSAAN BUKIT ANAK DARA,2,329,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,105,PAS,DR. SAM,MALE,53,220,325,4,0
P.040_N.30_040/30/05_a1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH KEBANGSAAN KIJAL,1,303,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,153,PAS,DR. SAM,MALE,53,146,299,4,0
P.040_N.30_040/30/05_a2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH KEBANGSAAN KIJAL,2,359,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,117,PAS,DR. SAM,MALE,53,241,358,1,0
P.040_N.30_040/30/05_a3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH KEBANGSAAN KIJAL,3,563,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,177,PAS,DR. SAM,MALE,53,385,562,1,0
P.040_N.30_040/30/05_a4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH KEBANGSAAN KIJAL,4,505,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,145,PAS,DR. SAM,MALE,53,360,505,0,0
P.040_N.30_040/30/05_a5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH KEBANGSAAN KIJAL,5,496,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,125,PAS,DR. SAM,MALE,53,370,495,1,0
P.040_N.30_040/30/05_b1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH MENENGAH KEBANGSAAN KIJAL,1,330,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,114,PAS,DR. SAM,MALE,53,216,330,0,0
P.040_N.30_040/30/05_b2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH MENENGAH KEBANGSAAN KIJAL,2,465,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,88,PAS,DR. SAM,MALE,53,375,463,2,0
P.040_N.30_040/30/05_b3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/05,PEKAN KIJAL,SEKOLAH MENENGAH KEBANGSAAN KIJAL,3,425,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,70,PAS,DR. SAM,MALE,53,355,425,0,0
P.040_N.30_040/30/06_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/06,TELUK KALUNG,SEKOLAH KEBANGSAAN TELOK KALONG,1,340,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,180,PAS,DR. SAM,MALE,53,158,338,2,0
P.040_N.30_040/30/06_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/06,TELUK KALUNG,SEKOLAH KEBANGSAAN TELOK KALONG,2,548,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,231,PAS,DR. SAM,MALE,53,315,546,2,0
P.040_N.30_040/30/06_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/06,TELUK KALUNG,SEKOLAH KEBANGSAAN TELOK KALONG,3,480,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,169,PAS,DR. SAM,MALE,53,307,476,4,0
P.040_N.30_040/30/07_a1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,1,319,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,140,PAS,DR. SAM,MALE,53,175,315,4,0
P.040_N.30_040/30/07_a2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,2,333,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,103,PAS,DR. SAM,MALE,53,227,330,3,0
P.040_N.30_040/30/07_a3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.30,KIJAL,040/30/07,BUKIT KUANG,SEKOLAH KEBANGSAAN BUKIT KUANG,3,513,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,112,PAS,DR. SAM,MALE,53,401,513,0,0
