UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.040_N.29_040/29/06_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/06,KEMASIK,SEKOLAH MENENGAH KEBANGSAAN BADRUL ALAM SHAH,3,314,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,87,PAS,DR. SAM,MALE,53,227,314,0,0
P.040_N.29_040/29/06_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/06,KEMASIK,SEKOLAH MENENGAH KEBANGSAAN BADRUL ALAM SHAH,4,330,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,88,PAS,DR. SAM,MALE,53,240,328,2,0
P.040_N.29_040/29/07_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/07,PEKAN AIR JERNIH,SEKOLAH KEBANGSAAN AYER JERNEH,1,278,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,151,PAS,DR. SAM,MALE,53,122,273,5,0
P.040_N.29_040/29/07_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/07,PEKAN AIR JERNIH,SEKOLAH KEBANGSAAN AYER JERNEH,2,452,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,170,PAS,DR. SAM,MALE,53,280,450,2,0
P.040_N.29_040/29/07_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/07,PEKAN AIR JERNIH,SEKOLAH KEBANGSAAN AYER JERNEH,3,462,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,120,PAS,DR. SAM,MALE,53,340,460,2,0
P.040_N.29_040/29/08_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/08,FELDA KERTIH 5,SEKOLAH KEBANGSAAN KG. BARU RASAU KERTIH 5,1,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.29_040/29/08_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/08,FELDA KERTIH 5,SEKOLAH KEBANGSAAN KG. BARU RASAU KERTIH 5,2,336,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,124,PAS,DR. SAM,MALE,53,212,336,0,0
P.040_N.29_040/29/08_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/08,FELDA KERTIH 5,SEKOLAH KEBANGSAAN KG. BARU RASAU KERTIH 5,3,323,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,107,PAS,DR. SAM,MALE,53,215,322,1,0
P.040_N.29_040/29/08_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/08,FELDA KERTIH 5,SEKOLAH KEBANGSAAN KG. BARU RASAU KERTIH 5,4,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.29_040/29/08_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/08,FELDA KERTIH 5,SEKOLAH KEBANGSAAN KG. BARU RASAU KERTIH 5,5,306,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,101,PAS,DR. SAM,MALE,53,205,306,0,0
P.040_N.29_040/29/09_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/09,CHABANG,SEKOLAH KEBANGSAAN KG CHABANG,1,310,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,128,PAS,DR. SAM,MALE,53,181,309,1,0
P.040_N.29_040/29/09_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/09,CHABANG,SEKOLAH KEBANGSAAN KG CHABANG,2,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
P.040_N.29_040/29/09_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/09,CHABANG,SEKOLAH KEBANGSAAN KG CHABANG,3,300,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,83,PAS,DR. SAM,MALE,53,217,300,0,0
P.040_N.29_040/29/10_1,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/10,TOK KAYA,SEKOLAH KEBANGSAAN KEMASIK,1,347,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,135,PAS,DR. SAM,MALE,53,208,343,4,0
P.040_N.29_040/29/10_2,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/10,TOK KAYA,SEKOLAH KEBANGSAAN KEMASIK,2,368,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,110,PAS,DR. SAM,MALE,53,256,366,2,0
P.040_N.29_040/29/10_3,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/10,TOK KAYA,SEKOLAH KEBANGSAAN KEMASIK,3,488,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,118,PAS,DR. SAM,MALE,53,370,488,0,0
P.040_N.29_040/29/10_4,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/10,TOK KAYA,SEKOLAH KEBANGSAAN KEMASIK,4,467,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,89,PAS,DR. SAM,MALE,53,377,466,1,0
P.040_N.29_040/29/10_5,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/10,TOK KAYA,SEKOLAH KEBANGSAAN KEMASIK,5,440,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,90,PAS,DR. SAM,MALE,53,348,438,1,1
P.040_N.29_040/29/10_6,TERENGGANU,NORMAL VOTE,P.040,KEMAMAN,N.29,KEMASIK,040/29/10,TOK KAYA,SEKOLAH KEBANGSAAN KEMASIK,6,,UMNO,JENERAL (B) TAN SRI RAJA MOHAMAD AFFANDI,MALE,67,,PAS,DR. SAM,MALE,53,,,,
