UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE GENDER,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.077_N.58_077/58/04_5,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,5,325,UMNO,ZAIDI AZIZ,MALE,43,275,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,45,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,2,322,2,1
P.077_N.58_077/58/04_6,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/04,TROLAK UTARA,SEKOLAH KEBANGSAAN TROLAK UTARA,6,307,UMNO,ZAIDI AZIZ,MALE,43,263,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,43,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,306,1,0
P.077_N.58_077/58/05_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/05,TROLAK SELATAN,SEKOLAH KEBANGSAAN TROLAK SELATAN,1,271,UMNO,ZAIDI AZIZ,MALE,43,234,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,27,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,2,263,8,0
P.077_N.58_077/58/05_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/05,TROLAK SELATAN,SEKOLAH KEBANGSAAN TROLAK SELATAN,2,298,UMNO,ZAIDI AZIZ,MALE,43,270,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,23,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,293,5,0
P.077_N.58_077/58/05_3,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/05,TROLAK SELATAN,SEKOLAH KEBANGSAAN TROLAK SELATAN,3,405,UMNO,ZAIDI AZIZ,MALE,43,355,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,40,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,396,9,0
P.077_N.58_077/58/05_4,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/05,TROLAK SELATAN,SEKOLAH KEBANGSAAN TROLAK SELATAN,4,342,UMNO,ZAIDI AZIZ,MALE,43,301,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,37,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,338,4,0
P.077_N.58_077/58/05_5,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/05,TROLAK SELATAN,SEKOLAH KEBANGSAAN TROLAK SELATAN,5,363,UMNO,ZAIDI AZIZ,MALE,43,316,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,45,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,361,2,0
P.077_N.58_077/58/05_6,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/05,TROLAK SELATAN,SEKOLAH KEBANGSAAN TROLAK SELATAN,6,362,UMNO,ZAIDI AZIZ,MALE,43,326,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,33,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,359,3,0
P.077_N.58_077/58/06_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/06,TROLAK,SEKOLAH JENIS KEBANGSAAN (TAMIL) TROLAK,1,198,UMNO,ZAIDI AZIZ,MALE,43,149,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,33,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,8,190,8,0
P.077_N.58_077/58/06_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/06,TROLAK,SEKOLAH JENIS KEBANGSAAN (TAMIL) TROLAK,2,360,UMNO,ZAIDI AZIZ,MALE,43,275,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,55,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,14,344,16,0
P.077_N.58_077/58/07_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/07,PEKAN SLIM,SEKOLAH KEBANGSAAN SLIM RIVER,1,183,UMNO,ZAIDI AZIZ,MALE,43,127,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,42,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,8,177,6,0
P.077_N.58_077/58/07_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/07,PEKAN SLIM,SEKOLAH KEBANGSAAN SLIM RIVER,2,217,UMNO,ZAIDI AZIZ,MALE,43,141,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,63,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,10,214,3,0
P.077_N.58_077/58/07_3,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/07,PEKAN SLIM,SEKOLAH KEBANGSAAN SLIM RIVER,3,207,UMNO,ZAIDI AZIZ,MALE,43,146,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,47,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,12,205,2,0
P.077_N.58_077/58/07_4,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/07,PEKAN SLIM,SEKOLAH KEBANGSAAN SLIM RIVER,4,319,UMNO,ZAIDI AZIZ,MALE,43,216,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,64,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,33,313,5,1
P.077_N.58_077/58/07_5,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/07,PEKAN SLIM,SEKOLAH KEBANGSAAN SLIM RIVER,5,279,UMNO,ZAIDI AZIZ,MALE,43,194,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,71,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,13,278,1,0
P.077_N.58_077/58/07_6,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/07,PEKAN SLIM,SEKOLAH KEBANGSAAN SLIM RIVER,6,313,UMNO,ZAIDI AZIZ,MALE,43,223,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,66,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,22,311,2,0
P.077_N.58_077/58/08_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/08,SUNGAI SLIM UTARA,SEKOLAH KEBANGSAAN AMINUDDIN BAKI,1,182,UMNO,ZAIDI AZIZ,MALE,43,109,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,56,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,8,173,9,0
P.077_N.58_077/58/08_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/08,SUNGAI SLIM UTARA,SEKOLAH KEBANGSAAN AMINUDDIN BAKI,2,212,UMNO,ZAIDI AZIZ,MALE,43,134,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,65,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,9,208,4,0
P.077_N.58_077/58/08_3,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/08,SUNGAI SLIM UTARA,SEKOLAH KEBANGSAAN AMINUDDIN BAKI,3,216,UMNO,ZAIDI AZIZ,MALE,43,133,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,70,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,11,214,2,0
P.077_N.58_077/58/08_4,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/08,SUNGAI SLIM UTARA,SEKOLAH KEBANGSAAN AMINUDDIN BAKI,4,245,UMNO,ZAIDI AZIZ,MALE,43,150,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,74,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,13,237,8,0
P.077_N.58_077/58/08_5,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/08,SUNGAI SLIM UTARA,SEKOLAH KEBANGSAAN AMINUDDIN BAKI,5,245,UMNO,ZAIDI AZIZ,MALE,43,134,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,91,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,20,245,0,0
P.077_N.58_077/58/09_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/09,KAMPONG KUALA SLIM,SEKOLAH KEBANGSAAN KUALA SLIM,1,247,UMNO,ZAIDI AZIZ,MALE,43,197,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,37,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,11,245,2,0
P.077_N.58_077/58/09_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/09,KAMPONG KUALA SLIM,SEKOLAH KEBANGSAAN KUALA SLIM,2,229,UMNO,ZAIDI AZIZ,MALE,43,181,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,42,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,4,227,2,0
P.077_N.58_077/58/09_3,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/09,KAMPONG KUALA SLIM,SEKOLAH KEBANGSAAN KUALA SLIM,3,258,UMNO,ZAIDI AZIZ,MALE,43,201,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,41,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,9,251,7,0
P.077_N.58_077/58/09_4,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/09,KAMPONG KUALA SLIM,SEKOLAH KEBANGSAAN KUALA SLIM,4,257,UMNO,ZAIDI AZIZ,MALE,43,189,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,39,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,4,232,25,0
P.077_N.58_077/58/09_5,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/09,KAMPONG KUALA SLIM,SEKOLAH KEBANGSAAN KUALA SLIM,5,249,UMNO,ZAIDI AZIZ,MALE,43,199,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,41,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,6,246,3,0
P.077_N.58_077/58/10_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/10,LADANG KELAPA BALI,SEKOLAH JENIS KEBANGSAAN (TAMIL) LDG KELAPA BALI,1,169,UMNO,ZAIDI AZIZ,MALE,43,119,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,22,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,19,160,9,0
P.077_N.58_077/58/11_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,1,281,UMNO,ZAIDI AZIZ,MALE,43,243,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,30,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,273,8,0
P.077_N.58_077/58/11_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,2,299,UMNO,ZAIDI AZIZ,MALE,43,279,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,15,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,294,5,0
P.077_N.58_077/58/11_3,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,3,322,UMNO,ZAIDI AZIZ,MALE,43,286,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,27,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,314,8,0
P.077_N.58_077/58/11_4,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,4,311,UMNO,ZAIDI AZIZ,MALE,43,291,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,12,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,304,7,0
P.077_N.58_077/58/11_5,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,5,390,UMNO,ZAIDI AZIZ,MALE,43,353,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,33,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,386,4,0
P.077_N.58_077/58/11_6,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,6,364,UMNO,ZAIDI AZIZ,MALE,43,326,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,38,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,364,0,0
P.077_N.58_077/58/11_7,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,7,367,UMNO,ZAIDI AZIZ,MALE,43,336,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,29,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,365,2,0
P.077_N.58_077/58/11_8,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,8,360,UMNO,ZAIDI AZIZ,MALE,43,314,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,33,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,348,12,0
P.077_N.58_077/58/11_9,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/11,FELDA GUNONG BESOUT II,SEKOLAH KEBANGSAAN BESOUT 3,9,397,UMNO,ZAIDI AZIZ,MALE,43,373,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,23,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,397,0,0
P.077_N.58_077/58/12_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/12,FELDA GUNONG BESOUT I,SEKOLAH KEBANGSAAN SERI BESOUT,1,300,UMNO,ZAIDI AZIZ,MALE,43,251,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,16,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,268,32,0
P.077_N.58_077/58/12_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/12,FELDA GUNONG BESOUT I,SEKOLAH KEBANGSAAN SERI BESOUT,2,407,UMNO,ZAIDI AZIZ,MALE,43,352,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,50,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,403,4,0
P.077_N.58_077/58/12_3,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/12,FELDA GUNONG BESOUT I,SEKOLAH KEBANGSAAN SERI BESOUT,3,367,UMNO,ZAIDI AZIZ,MALE,43,329,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,33,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,363,4,0
P.077_N.58_077/58/12_4,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/12,FELDA GUNONG BESOUT I,SEKOLAH KEBANGSAAN SERI BESOUT,4,397,UMNO,ZAIDI AZIZ,MALE,43,362,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,34,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,396,1,0
P.077_N.58_077/58/13_1,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/13,FELDA GUNONG BESOUT V,SEKOLAH KEBANGSAAN BESOUT 5,1,314,UMNO,ZAIDI AZIZ,MALE,43,278,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,29,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,308,6,0
P.077_N.58_077/58/13_2,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/13,FELDA GUNONG BESOUT V,SEKOLAH KEBANGSAAN BESOUT 5,2,274,UMNO,ZAIDI AZIZ,MALE,43,242,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,23,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,0,265,9,0
P.077_N.58_077/58/13_3,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/13,FELDA GUNONG BESOUT V,SEKOLAH KEBANGSAAN BESOUT 5,3,356,UMNO,ZAIDI AZIZ,MALE,43,334,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,18,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,2,354,2,0
P.077_N.58_077/58/13_4,PERAK,ORDINARY VOTE,P.077,TANJONG MALIM,N.58,SLIM,077/58/13,FELDA GUNONG BESOUT V,SEKOLAH KEBANGSAAN BESOUT 5,4,324,UMNO,ZAIDI AZIZ,MALE,43,300,INDEPENDENT - TREE,AMIR KHUSYAIRI,MALE,38,21,INDEPENDENT - BOOK,PROFESOR SANTHARASEKARAN SUBRAMANIAM,MALE,44,1,322,1,1
