STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,DUN CODE,DUN NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS (2023),MALAY (%),CHINESE (%),INDIAN (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),ORANG ASLI (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18 - 20 (%),21 - 29 (%),30 - 39 (%),40 - 49 (%),50 - 59 (%),60 - 69 (%),70 - 79 (%),80 - 89 (%),90 AND ABOVE (%),MALE ELECTORS (%),FEMALE ELECTORS (%),URBAN-RURAL CLASSIFICATION (2023)
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/01,FELDA SUNGAI KEMASUL,2681,98.69,0.15,0.60,0.07,0.04,0.45,0.00,99.96,0.04,0.00,0.00,3.39,17.42,34.46,17.23,6.53,14.81,5.82,0.34,0.00,49.79,50.21,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/02,FELDA CHEMOMOI,3122,98.98,0.22,0.54,0.26,0.00,0.00,0.00,100.00,0.00,0.00,0.00,5.29,17.65,24.86,23.13,12.20,6.53,8.46,1.79,0.10,48.94,51.06,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/03,FELDA SUNGAI KEMAHAL,2180,99.50,0.00,0.23,0.05,0.14,0.09,0.00,99.95,0.05,0.00,0.00,5.00,16.74,21.70,25.64,14.45,3.94,9.82,2.71,0.00,48.26,51.74,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/04,KAMPUNG JAWI-JAWI,1649,98.54,0.06,0.00,0.49,0.36,0.55,0.00,99.94,0.06,0.00,0.00,5.52,23.41,21.35,16.25,16.62,10.19,4.37,1.76,0.55,48.82,51.18,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/05,SIMPANG PELANGAI,1799,98.00,0.67,0.61,0.39,0.11,0.17,0.06,100.00,0.00,0.00,0.00,5.23,20.34,20.18,19.84,15.95,10.73,4.95,2.61,0.17,49.08,50.92,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/06,MANCHIS,1501,32.64,53.50,8.19,0.27,0.20,5.06,0.13,98.80,0.00,1.20,0.00,3.13,13.59,22.39,18.65,14.32,15.99,7.66,3.93,0.33,51.63,48.37,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/07,SUNGAI GAPOI,1321,12.72,36.34,24.68,0.00,0.15,25.59,0.53,100.00,0.00,0.00,0.00,4.16,16.43,21.50,20.06,15.52,11.88,6.81,2.42,1.21,52.08,47.92,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/08,TELEMONG,1696,2.42,88.97,7.78,0.06,0.35,0.06,0.35,98.94,0.00,1.06,0.00,3.01,12.21,16.86,19.28,18.34,14.56,11.85,3.60,0.29,55.13,44.87,RURAL
PAHANG,P.089,BENTONG,N.36,PELANGAI,089/36/09,SUNGAI PERDAK,507,10.45,28.40,55.23,0.00,0.00,5.52,0.39,100.00,0.00,0.00,0.00,3.35,18.54,20.32,16.37,18.74,9.27,9.07,3.16,1.18,49.90,50.10,RURAL
