UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.102_N.27_102/27/14_4,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/14,SUNGAI CHUA SATU,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,4,260,MCA,TAN CHEE TEONG,MALE,40,34,DAP,WONG SIEW KI,FEMALE,32,226,260,0,0
P.102_N.27_102/27/14_5,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/14,SUNGAI CHUA SATU,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,5,242,MCA,TAN CHEE TEONG,MALE,40,26,DAP,WONG SIEW KI,FEMALE,32,215,241,1,0
P.102_N.27_102/27/14_6,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/14,SUNGAI CHUA SATU,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,6,231,MCA,TAN CHEE TEONG,MALE,40,19,DAP,WONG SIEW KI,FEMALE,32,211,230,1,0
P.102_N.27_102/27/14_7,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/14,SUNGAI CHUA SATU,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,7,213,MCA,TAN CHEE TEONG,MALE,40,29,DAP,WONG SIEW KI,FEMALE,32,184,213,0,0
P.102_N.27_102/27/14_8,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/14,SUNGAI CHUA SATU,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,8,218,MCA,TAN CHEE TEONG,MALE,40,22,DAP,WONG SIEW KI,FEMALE,32,196,218,0,0
P.102_N.27_102/27/14_9,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/14,SUNGAI CHUA SATU,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,9,218,MCA,TAN CHEE TEONG,MALE,40,21,DAP,WONG SIEW KI,FEMALE,32,196,217,1,0
P.102_N.27_102/27/14_10,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/14,SUNGAI CHUA SATU,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,10,244,MCA,TAN CHEE TEONG,MALE,40,26,DAP,WONG SIEW KI,FEMALE,32,218,244,0,0
P.102_N.27_102/27/15_11,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/15,SUNGAI CHUA DUA,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,11,167,MCA,TAN CHEE TEONG,MALE,40,36,DAP,WONG SIEW KI,FEMALE,32,128,164,3,0
P.102_N.27_102/27/15_12,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/15,SUNGAI CHUA DUA,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,12,202,MCA,TAN CHEE TEONG,MALE,40,26,DAP,WONG SIEW KI,FEMALE,32,176,202,0,0
P.102_N.27_102/27/15_13,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/15,SUNGAI CHUA DUA,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,13,280,MCA,TAN CHEE TEONG,MALE,40,23,DAP,WONG SIEW KI,FEMALE,32,256,279,1,0
P.102_N.27_102/27/15_14,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/15,SUNGAI CHUA DUA,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,14,261,MCA,TAN CHEE TEONG,MALE,40,31,DAP,WONG SIEW KI,FEMALE,32,227,258,3,0
P.102_N.27_102/27/15_15,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/15,SUNGAI CHUA DUA,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,15,233,MCA,TAN CHEE TEONG,MALE,40,35,DAP,WONG SIEW KI,FEMALE,32,198,233,0,0
P.102_N.27_102/27/15_16,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/15,SUNGAI CHUA DUA,SEKOLAH RENDAH JENIS KEBANGSAAN (CINA) SUNGAI CHUA,16,223,MCA,TAN CHEE TEONG,MALE,40,36,DAP,WONG SIEW KI,FEMALE,32,187,223,0,0
P.102_N.27_102/27/16_1,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/16,SUNGAI CHUA TIGA,"PUSAT REKREASI (DEWAN TERTUTUP) JAWATANKUASA KEMAJUAN DAN KESELAMATAN SUNGAI CHUA, KAJANG",1,144,MCA,TAN CHEE TEONG,MALE,40,18,DAP,WONG SIEW KI,FEMALE,32,124,142,2,0
P.102_N.27_102/27/16_2,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/16,SUNGAI CHUA TIGA,"PUSAT REKREASI (DEWAN TERTUTUP) JAWATANKUASA KEMAJUAN DAN KESELAMATAN SUNGAI CHUA, KAJANG",2,231,MCA,TAN CHEE TEONG,MALE,40,24,DAP,WONG SIEW KI,FEMALE,32,207,231,0,0
P.102_N.27_102/27/17_3,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/17,SUNGAI CHUA EMPAT,"PUSAT REKREASI (DEWAN TERTUTUP) JAWATANKUASA KEMAJUAN DAN KESELAMATAN SUNGAI CHUA, KAJANG",3,177,MCA,TAN CHEE TEONG,MALE,40,31,DAP,WONG SIEW KI,FEMALE,32,143,174,3,0
P.102_N.27_102/27/17_4,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/17,SUNGAI CHUA EMPAT,"PUSAT REKREASI (DEWAN TERTUTUP) JAWATANKUASA KEMAJUAN DAN KESELAMATAN SUNGAI CHUA, KAJANG",4,225,MCA,TAN CHEE TEONG,MALE,40,32,DAP,WONG SIEW KI,FEMALE,32,185,217,8,0
P.102_N.27_102/27/17_5,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/17,SUNGAI CHUA EMPAT,"PUSAT REKREASI (DEWAN TERTUTUP) JAWATANKUASA KEMAJUAN DAN KESELAMATAN SUNGAI CHUA, KAJANG",5,274,MCA,TAN CHEE TEONG,MALE,40,43,DAP,WONG SIEW KI,FEMALE,32,230,273,1,0
P.102_N.27_102/27/18_1,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/18,SUNGAI CHUA LIMA,DEWAN ORANG RAMAI SUNGAI CHUA,1,179,MCA,TAN CHEE TEONG,MALE,40,44,DAP,WONG SIEW KI,FEMALE,32,134,178,1,0
P.102_N.27_102/27/18_2,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/18,SUNGAI CHUA LIMA,DEWAN ORANG RAMAI SUNGAI CHUA,2,227,MCA,TAN CHEE TEONG,MALE,40,36,DAP,WONG SIEW KI,FEMALE,32,189,225,2,0
P.102_N.27_102/27/18_3,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/18,SUNGAI CHUA LIMA,DEWAN ORANG RAMAI SUNGAI CHUA,3,368,MCA,TAN CHEE TEONG,MALE,40,39,DAP,WONG SIEW KI,FEMALE,32,327,366,2,0
P.102_N.27_102/27/18_4,SELANGOR,ORDINARY VOTE,P.102,BANGI,N.27,BALAKONG,102/27/18,SUNGAI CHUA LIMA,DEWAN ORANG RAMAI SUNGAI CHUA,4,284,MCA,TAN CHEE TEONG,MALE,40,27,DAP,WONG SIEW KI,FEMALE,32,256,283,1,0
