Category,SubCategory (if applicable),Total
1A (Police/Military/Media/EC Officers/Polling Staff),Police,18
1A (Police/Military/Media/EC Officers/Polling Staff),Military,455
1A (Police/Military/Media/EC Officers/Polling Staff),Polling Staff,118
1B (Overseas Malaysians),Overseas Malaysians,4
1C (Selected Government Agencies),Government Agencies,2
Absent Voters,Absent Voters,10
