TOTAL ELECTORATE,66318
ELECTORAL ROLL,"Total Elector count using the Principal Electoral Roll of 2023 combined with Supplementary Electoral Rolls of January, February, March, April, May and June of which June 2024 Supplementary Roll that was gazetted on 23rd July 2024"
NOMINATION DAY,14/9/2024
EARLY VOTE DAY,24/9/2024
ORDINARY VOTE DAY,28/9/2024
ETHNIC COMPOSITION,"55.3% Malay, 33.7% Chinese, 7.6% Indian, 0.7% Bumiputera Sabah, 1.1% Bumiputera Sarawak, 0.1% Orang Asli, 1.5% Others"
VOTER TYPE COMPOSITION,"61397 Ordinary Voters, 4510 Military Votes and Spouses, 401 Police Voters, 10 Absent Voters"
URBANISATION TYPE,Urban
TOTAL BALLOT ISSUED,35705
TOTAL VALID VOTES,35342
BN CANDIDATE (SYED HUSSIEN BIN SYED ABDULLAH),27995
PN CANDIDATE (COACH HAIZAN),7347
TOTAL REJECTED VOTES,339
TOTAL UNRETURNED BALLOTS,24
TURNOUT (%),53.48
WINNING MAJORITY,20648
,
Sources,
https://www.spr.gov.my/sites/default/files/KM%20BIL%2030%202024%20%20URUSAN%20PRK%20DEWAN%20NEGERI%20N.29%20MAHKOTA%20JOHOR.pdf,
https://web.facebook.com/photo/?fbid=1075545530601231&set=pb.100044373821582.-2207520000,
https://web.facebook.com/photo.php?fbid=916360493852660&set=pb.100064361542679.-2207520000&type=3,
