UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PN,PN CANDIDATE,PN CANDIDATE SEX,PN CANDIDATE AGE,PN VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTE,TOTAL UNRETURNED BALLOTS
P.152_N.29_152/29/16_3,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,3,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/16_4,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,4,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/16_5,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,5,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/16_6,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,6,281,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,227,PPBM,COACH HAIZAN,MALE,61,52,279,2,0
P.152_N.29_152/29/16_7,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,7,234,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,188,PPBM,COACH HAIZAN,MALE,61,43,231,3,0
P.152_N.29_152/29/16_8,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,8,250,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,201,PPBM,COACH HAIZAN,MALE,61,46,247,3,0
P.152_N.29_152/29/16_9,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,9,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/16_10,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,10,284,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,242,PPBM,COACH HAIZAN,MALE,61,42,284,0,0
P.152_N.29_152/29/16_11,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/16,TAMAN SURIA,SEKOLAH MENENGAH KEBANGSAAN SERI PERDANA,11,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/17_1,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/17,INDAH JAYA,SEKOLAH KEBANGSAAN DATO' SYED ZAIN ALSHAHAB,1,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/17_2,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/17,INDAH JAYA,SEKOLAH KEBANGSAAN DATO' SYED ZAIN ALSHAHAB,2,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/17_3,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/17,INDAH JAYA,SEKOLAH KEBANGSAAN DATO' SYED ZAIN ALSHAHAB,3,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/17_4,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/17,INDAH JAYA,SEKOLAH KEBANGSAAN DATO' SYED ZAIN ALSHAHAB,4,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/17_5,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/17,INDAH JAYA,SEKOLAH KEBANGSAAN DATO' SYED ZAIN ALSHAHAB,5,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/17_6,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/17,INDAH JAYA,SEKOLAH KEBANGSAAN DATO' SYED ZAIN ALSHAHAB,6,286,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,227,PPBM,COACH HAIZAN,MALE,61,57,284,2,0
P.152_N.29_152/29/17_7,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/17,INDAH JAYA,SEKOLAH KEBANGSAAN DATO' SYED ZAIN ALSHAHAB,7,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/18_1,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/18,SRI TENGAH,SEKOLAH MENENGAH KEBANGSAAN TENGKU ARIS BENDAHARA,1,281,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,224,PPBM,COACH HAIZAN,MALE,61,50,274,7,0
P.152_N.29_152/29/18_2,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/18,SRI TENGAH,SEKOLAH MENENGAH KEBANGSAAN TENGKU ARIS BENDAHARA,2,307,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,233,PPBM,COACH HAIZAN,MALE,61,68,301,6,0
P.152_N.29_152/29/18_3,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/18,SRI TENGAH,SEKOLAH MENENGAH KEBANGSAAN TENGKU ARIS BENDAHARA,3,351,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,264,PPBM,COACH HAIZAN,MALE,61,80,344,7,0
P.152_N.29_152/29/18_4,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/18,SRI TENGAH,SEKOLAH MENENGAH KEBANGSAAN TENGKU ARIS BENDAHARA,4,327,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,238,PPBM,COACH HAIZAN,MALE,61,87,325,2,0
P.152_N.29_152/29/18_5,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/18,SRI TENGAH,SEKOLAH MENENGAH KEBANGSAAN TENGKU ARIS BENDAHARA,5,368,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,299,PPBM,COACH HAIZAN,MALE,61,66,365,3,0
P.152_N.29_152/29/18_6,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/18,SRI TENGAH,SEKOLAH MENENGAH KEBANGSAAN TENGKU ARIS BENDAHARA,6,,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,,PPBM,COACH HAIZAN,MALE,61,,,,
P.152_N.29_152/29/18_7,JOHOR,NORMAL VOTE,P.152,KLUANG,N.29,MAHKOTA,152/29/18,SRI TENGAH,SEKOLAH MENENGAH KEBANGSAAN TENGKU ARIS BENDAHARA,7,400,UMNO,SYED HUSSIEN BIN SYED ABDULLAH,MALE,40,329,PPBM,COACH HAIZAN,MALE,61,69,398,2,0
