UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,BUMIPUTERA SABAH,BUMIPUTERA SARAWAK,CINA,INDIA,LAIN LAIN,MELAYU,ORANG ASLI,TOTAL ELECTORS,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 DAN KE ATAS,MALE ELECTORS,FEMALE ELECTORS,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE SEX,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 VOTE,INDEPENDENT 5,INDEPENDENT 5 CANDIDATE,INDEPENDENT 5 CANDIDATE SEX,INDEPENDENT 5 CANDIDATE AGE,INDEPENDENT 5 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VALID VOTE CHECK,TOTAL BALLOT CHECK
P.132_N.31_132/31/00_4b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",15,23,,1,,560,,599,303,243,51,2,,,,,598,1,4,375,,,,,,PKR,ANWAR IBRAHIM,MALE,71,178,PAS,LT KOL (B) HAJI NAZARI,MALE,57,173,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,8,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,359,16,0,1,1
P.132_N.31_132/31/00_5b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",40,61,,6,1,491,,599,263,238,93,4,1,,,,473,126,5,382,,,,,,PKR,ANWAR IBRAHIM,MALE,71,201,PAS,LT KOL (B) HAJI NAZARI,MALE,57,144,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,2,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,14,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,363,19,0,1,1
P.132_N.31_132/31/00_6b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",51,92,3,14,6,434,,600,141,295,146,14,4,,,,381,219,6,366,,,,,,PKR,ANWAR IBRAHIM,MALE,71,214,PAS,LT KOL (B) HAJI NAZARI,MALE,57,132,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,3,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,5,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,358,8,0,1,1
P.132_N.31_132/31/00_7b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",31,63,2,5,2,497,,600,61,328,183,27,,1,,,8,592,7,297,,,,,,PKR,ANWAR IBRAHIM,MALE,71,178,PAS,LT KOL (B) HAJI NAZARI,MALE,57,107,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,10,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,295,2,0,1,1
P.132_N.31_132/31/00_8b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.31,BAGAN PINANG,132/31/00,UNDI AWAL,"HANGAR PUSASDA, PORT DICKSON",26,60,,13,4,497,,600,82,341,155,22,,,,,1,599,8,311,,,,,,PKR,ANWAR IBRAHIM,MALE,71,142,PAS,LT KOL (B) HAJI NAZARI,MALE,57,140,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,4,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,10,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,296,15,0,1,1
P.132_N.32_132/32/00_1a,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.32,LINGGI,132/32/00,UNDI AWAL,"KHEMAH C, IPD PORT DICKSON ",1,2,1,,,34,,38,2,8,7,20,1,,,,32,6,1,34,,,,,,PKR,ANWAR IBRAHIM,MALE,71,19,PAS,LT KOL (B) HAJI NAZARI,MALE,57,11,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,3,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,33,1,0,1,1
P.132_N.32_132/32/00_1b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.32,LINGGI,132/32/00,UNDI AWAL,DEWAN SERBAGUNA KEM SEGENTING ,37,90,4,6,2,333,1,473,71,274,110,18,,,,,444,29,1,351,,,,,,PKR,ANWAR IBRAHIM,MALE,71,210,PAS,LT KOL (B) HAJI NAZARI,MALE,57,121,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,3,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,5,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,340,11,0,1,1
P.132_N.32_132/32/00_2b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.32,LINGGI,132/32/00,UNDI AWAL,DEWAN SERBAGUNA KEM SEGENTING ,11,19,,11,1,431,,473,87,297,75,14,,,,,444,29,2,385,,,,,,PKR,ANWAR IBRAHIM,MALE,71,197,PAS,LT KOL (B) HAJI NAZARI,MALE,57,167,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,373,12,0,1,1
P.132_N.32_132/32/00_3b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.32,LINGGI,132/32/00,UNDI AWAL,DEWAN SERBAGUNA KEM SEGENTING ,18,73,3,15,3,361,,473,43,285,132,13,,,,,213,260,3,291,,,,,,PKR,ANWAR IBRAHIM,MALE,71,162,PAS,LT KOL (B) HAJI NAZARI,MALE,57,106,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,2,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,10,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,285,6,0,1,1
P.132_N.32_132/32/00_4b,NEGERI SEMBILAN,EARLY VOTE,P.132,PORT DICKSON,N.32,LINGGI,132/32/00,UNDI AWAL,DEWAN SERBAGUNA KEM SEGENTING ,11,29,2,11,,419,4,476,75,271,112,17,1,,,,1,475,4,247,,,,,,PKR,ANWAR IBRAHIM,MALE,71,128,PAS,LT KOL (B) HAJI NAZARI,MALE,57,99,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,2,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,10,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,241,6,0,1,1
