UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,BUMIPUTERA SABAH,BUMIPUTERA SARAWAK,CINA,INDIA,LAIN LAIN,MELAYU,ORANG ASLI,TOTAL ELECTORS,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 DAN KE ATAS,MALE ELECTORS,FEMALE ELECTORS,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS VOTE,INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE,INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE,INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE SEX,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE,INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE SEX,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 VOTE,INDEPENDENT 5,INDEPENDENT 5 CANDIDATE,INDEPENDENT 5 CANDIDATE SEX,INDEPENDENT 5 CANDIDATE AGE,INDEPENDENT 5 VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,VALID VOTE CHECK,TOTAL BALLOT CHECK
P.132_N.29_132/29/02_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/02,KAMPONG PACHITAN,SEKOLAH KEBANGSAAN KG SAWAH,,,214,66,13,57,,350,,,,,105,187,47,11,168,182,1,213,,,,,,PKR,ANWAR IBRAHIM,MALE,71,165,PAS,LT KOL (B) HAJI NAZARI,MALE,57,23,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,4,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,17,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,211,2,0,1,1
P.132_N.29_132/29/02_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/02,KAMPONG PACHITAN,SEKOLAH KEBANGSAAN KG SAWAH,,,121,113,14,102,,350,,,,203,147,,,,174,176,2,244,,,,,,PKR,ANWAR IBRAHIM,MALE,71,178,PAS,LT KOL (B) HAJI NAZARI,MALE,57,42,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,16,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,238,6,0,1,1
P.132_N.29_132/29/02_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/02,KAMPONG PACHITAN,SEKOLAH KEBANGSAAN KG SAWAH,,,149,160,9,127,,445,,71,277,97,,,,,226,219,3,274,,,,,,PKR,ANWAR IBRAHIM,MALE,71,194,PAS,LT KOL (B) HAJI NAZARI,MALE,57,37,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,34,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,269,5,0,1,1
P.132_N.29_132/29/02_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/02,KAMPONG PACHITAN,SEKOLAH KEBANGSAAN KG SAWAH,,,173,82,,191,,446,245,201,,,,,,,196,250,4,235,,,,,,PKR,ANWAR IBRAHIM,MALE,71,173,PAS,LT KOL (B) HAJI NAZARI,MALE,57,38,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,21,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,235,0,0,1,1
P.132_N.29_132/29/03_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/03,BUKIT PELANDOK,SEKOLAH JENIS KEBANGSAAN (CINA) YIK CHIAO,,,294,40,2,14,,350,,,,,170,142,31,7,159,191,1,208,,,,,,PKR,ANWAR IBRAHIM,MALE,71,173,PAS,LT KOL (B) HAJI NAZARI,MALE,57,3,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,5,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,20,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,204,4,0,1,1
P.132_N.29_132/29/03_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/03,BUKIT PELANDOK,SEKOLAH JENIS KEBANGSAAN (CINA) YIK CHIAO,,,277,54,,19,,350,,,,98,252,,,,177,173,2,232,,,,,,PKR,ANWAR IBRAHIM,MALE,71,198,PAS,LT KOL (B) HAJI NAZARI,MALE,57,11,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,6,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,14,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,232,0,0,1,1
P.132_N.29_132/29/03_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/03,BUKIT PELANDOK,SEKOLAH JENIS KEBANGSAAN (CINA) YIK CHIAO,,,465,46,6,37,1,555,,,28,527,,,,,291,264,3,334,,,,,,PKR,ANWAR IBRAHIM,MALE,71,291,PAS,LT KOL (B) HAJI NAZARI,MALE,57,14,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,8,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,16,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,331,3,0,1,1
P.132_N.29_132/29/03_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/03,BUKIT PELANDOK,SEKOLAH JENIS KEBANGSAAN (CINA) YIK CHIAO,,,420,79,1,54,1,555,,,555,,,,,,308,247,4,319,,,,,,PKR,ANWAR IBRAHIM,MALE,71,275,PAS,LT KOL (B) HAJI NAZARI,MALE,57,17,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,5,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,17,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,316,3,0,1,1
P.132_N.29_132/29/03_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/03,BUKIT PELANDOK,SEKOLAH JENIS KEBANGSAAN (CINA) YIK CHIAO,,,415,76,2,62,,555,,413,142,,,,,,305,250,5,297,,,,,,PKR,ANWAR IBRAHIM,MALE,71,268,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,4,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,13,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,297,0,0,1,1
P.132_N.29_132/29/03_6,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/03,BUKIT PELANDOK,SEKOLAH JENIS KEBANGSAAN (CINA) YIK CHIAO,1,,367,135,2,51,,556,323,233,,,,,,,309,247,6,285,,,,,,PKR,ANWAR IBRAHIM,MALE,71,261,PAS,LT KOL (B) HAJI NAZARI,MALE,57,10,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,2,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,9,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,283,2,0,1,1
P.132_N.29_132/29/04_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/04,SUNGAI NIPAH,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU SG NIPAH,,,318,14,2,16,,350,,,,83,142,87,32,6,160,190,1,222,,,,,,PKR,ANWAR IBRAHIM,MALE,71,177,PAS,LT KOL (B) HAJI NAZARI,MALE,57,4,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,29,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,4,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,220,2,0,1,1
P.132_N.29_132/29/04_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/04,SUNGAI NIPAH,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU SG NIPAH,,,262,20,,19,,301,,,195,106,,,,,168,133,2,173,,,,,,PKR,ANWAR IBRAHIM,MALE,71,144,PAS,LT KOL (B) HAJI NAZARI,MALE,57,5,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,16,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,171,2,0,1,1
P.132_N.29_132/29/04_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/04,SUNGAI NIPAH,SEKOLAH JENIS KEBANGSAAN (CINA) KG BARU SG NIPAH,,,262,15,2,23,,302,97,179,26,,,,,,165,137,3,151,,,,,,PKR,ANWAR IBRAHIM,MALE,71,137,PAS,LT KOL (B) HAJI NAZARI,MALE,57,4,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,6,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,150,1,0,1,1
P.132_N.29_132/29/05_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/05,CHUAH,SEKOLAH KEBANGSAAN CHUAH,,,166,16,14,154,,350,,,,,73,200,68,9,145,205,1,193,,,,,,PKR,ANWAR IBRAHIM,MALE,71,121,PAS,LT KOL (B) HAJI NAZARI,MALE,57,28,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,3,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,33,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,189,4,0,1,1
P.132_N.29_132/29/05_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/05,CHUAH,SEKOLAH KEBANGSAAN CHUAH,,,159,32,7,152,,350,,,,67,283,,,,166,184,2,232,,,,,,PKR,ANWAR IBRAHIM,MALE,71,147,PAS,LT KOL (B) HAJI NAZARI,MALE,57,38,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,38,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,2,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,230,2,0,1,1
P.132_N.29_132/29/05_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/05,CHUAH,SEKOLAH KEBANGSAAN CHUAH,,2,229,40,7,250,,528,,,29,499,,,,,287,241,3,306,,,,,,PKR,ANWAR IBRAHIM,MALE,71,208,PAS,LT KOL (B) HAJI NAZARI,MALE,57,57,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,32,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,300,6,0,1,1
P.132_N.29_132/29/05_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/05,CHUAH,SEKOLAH KEBANGSAAN CHUAH,1,1,183,65,8,270,,528,,,528,,,,,,280,248,4,312,,,,,,PKR,ANWAR IBRAHIM,MALE,71,213,PAS,LT KOL (B) HAJI NAZARI,MALE,57,66,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,26,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,308,4,0,1,1
P.132_N.29_132/29/05_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/05,CHUAH,SEKOLAH KEBANGSAAN CHUAH,1,1,170,90,6,260,,528,,398,130,,,,,,295,233,5,321,,,,,,PKR,ANWAR IBRAHIM,MALE,71,221,PAS,LT KOL (B) HAJI NAZARI,MALE,57,68,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,29,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,318,3,0,1,1
P.132_N.29_132/29/05_6,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.29,CHUAH,132/29/05,CHUAH,SEKOLAH KEBANGSAAN CHUAH,,,177,77,2,274,,530,284,246,,,,,,,294,236,6,295,,,,,,PKR,ANWAR IBRAHIM,MALE,71,214,PAS,LT KOL (B) HAJI NAZARI,MALE,57,55,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,24,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,294,1,0,1,1
P.132_N.30_132/30/01_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/01,KAMPONG JIMAH BARU,SEKOLAH KEBANGSAAN JIMAH BARU,,,13,7,16,314,,350,,,22,167,109,29,21,2,153,197,1,199,,,,,,PKR,ANWAR IBRAHIM,MALE,71,103,PAS,LT KOL (B) HAJI NAZARI,MALE,57,58,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,33,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,196,3,0,1,1
P.132_N.30_132/30/01_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/01,KAMPONG JIMAH BARU,SEKOLAH KEBANGSAAN JIMAH BARU,2,,66,16,2,447,,533,118,221,194,,,,,,257,276,2,302,,,,,,PKR,ANWAR IBRAHIM,MALE,71,162,PAS,LT KOL (B) HAJI NAZARI,MALE,57,78,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,57,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,298,4,0,1,1
P.132_N.30_132/30/02_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/02,BANDAR SPRING HILL,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SPRINGHILL,,,139,179,4,28,,350,,,,,161,129,43,17,154,196,1,205,,,,,,PKR,ANWAR IBRAHIM,MALE,71,156,PAS,LT KOL (B) HAJI NAZARI,MALE,57,16,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,2,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,17,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,200,5,0,1,1
P.132_N.30_132/30/02_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/02,BANDAR SPRING HILL,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SPRINGHILL,,3,82,176,3,86,,350,,,,238,112,,,,172,178,2,246,,,,,,PKR,ANWAR IBRAHIM,MALE,71,187,PAS,LT KOL (B) HAJI NAZARI,MALE,57,37,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,3,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,11,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,243,3,0,1,1
P.132_N.30_132/30/02_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/02,BANDAR SPRING HILL,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SPRINGHILL,3,2,128,308,4,148,,593,,,434,159,,,,,296,297,3,402,,,,,,PKR,ANWAR IBRAHIM,MALE,71,299,PAS,LT KOL (B) HAJI NAZARI,MALE,57,67,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,30,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,0,398,4,0,1,1
P.132_N.30_132/30/02_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/02,BANDAR SPRING HILL,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SPRINGHILL,2,,97,361,3,130,,593,,441,152,,,,,,274,319,4,341,,,,,,PKR,ANWAR IBRAHIM,MALE,71,282,PAS,LT KOL (B) HAJI NAZARI,MALE,57,34,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,18,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,339,2,0,1,1
P.132_N.30_132/30/02_5,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/02,BANDAR SPRING HILL,SEKOLAH JENIS KEBANGSAAN (TAMIL) BANDAR SPRINGHILL,,2,79,245,1,267,,594,448,146,,,,,,,300,294,5,270,,,,,,PKR,ANWAR IBRAHIM,MALE,71,192,PAS,LT KOL (B) HAJI NAZARI,MALE,57,60,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,2,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,11,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,270,0,0,1,1
P.132_N.30_132/30/03_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/03,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN LUKUT,,,237,93,5,15,,350,,,,,204,112,29,5,167,183,1,234,,,,,,PKR,ANWAR IBRAHIM,MALE,71,194,PAS,LT KOL (B) HAJI NAZARI,MALE,57,15,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,5,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,1,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,5,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,223,11,0,1,1
P.132_N.30_132/30/03_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/03,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN LUKUT,1,1,169,119,4,56,,350,,,,283,67,,,,184,166,2,235,,,,,,PKR,ANWAR IBRAHIM,MALE,71,196,PAS,LT KOL (B) HAJI NAZARI,MALE,57,17,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,2,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,15,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,1,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,232,3,0,1,1
P.132_N.30_132/30/03_3,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/03,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN LUKUT,2,2,237,250,6,62,,559,,143,370,46,,,,,245,314,3,316,,,,,,PKR,ANWAR IBRAHIM,MALE,71,271,PAS,LT KOL (B) HAJI NAZARI,MALE,57,22,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,18,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,3,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,315,1,0,1,1
P.132_N.30_132/30/03_4,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/03,TAMAN INDAH JAYA,SEKOLAH KEBANGSAAN LUKUT,1,1,209,210,2,137,,560,300,260,,,,,,,261,299,4,280,,,,,,PKR,ANWAR IBRAHIM,MALE,71,236,PAS,LT KOL (B) HAJI NAZARI,MALE,57,34,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,0,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,5,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,0,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,1,276,4,0,1,1
P.132_N.30_132/30/04_1,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,,,279,30,1,40,,350,,,,,24,247,68,11,158,192,1,198,,,,,,PKR,ANWAR IBRAHIM,MALE,71,163,PAS,LT KOL (B) HAJI NAZARI,MALE,57,12,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,3,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,6,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,7,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,3,194,4,0,1,1
P.132_N.30_132/30/04_2,NEGERI SEMBILAN,ORDINARY VOTE,P.132,PORT DICKSON,N.30,LUKUT,132/30/04,KUALA LUKUT,SEKOLAH MENENGAH KEBANGSAAN RAJA JUMAAT,,,259,57,2,32,,350,,,,,350,,,,174,176,2,244,,,,,,PKR,ANWAR IBRAHIM,MALE,71,204,PAS,LT KOL (B) HAJI NAZARI,MALE,57,17,INDEPENDENT - RABBIT,LAU SECK YAN,FEMALE,57,1,INDEPENDENT - KEY,SAIFUL BUKHARI AZLAN,MALE,33,0,INDEPENDENT - CHAIR,TAN SRI MOHD ISA BIN ABDUL SAMAD,MALE,68,13,INDEPENDENT - SPECTACLES,STEVIE CHAN,MALE,51,4,INDEPENDENT - PEN,KAN CHEE YUEN,MALE,45,2,241,3,0,1,1
