UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.078_P.078/POSTAL VOTE_078/UNDI POS_1,PAHANG,POSTAL VOTE,P.078,CAMERON HIGHLANDS,P.078/POSTAL VOTE,POSTAL VOTE,078/UNDI POS,UNDI POS,UNDI POS,1,122,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,71,DAP,MANOGARAN,MALE,59,24,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB (SALLEHUDIN BIN AB. TALIB),MALE,61,3,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,1,99,2,21
P.078_N.01_078/01/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1,203,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,159,DAP,MANOGARAN,MALE,59,35,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,6,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,0,200,3,0
P.078_N.02_078/02/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1,13,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,9,DAP,MANOGARAN,MALE,59,3,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,0,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,0,12,1,0
P.078_N.01_078/01/01_1,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/01,POS TERISU,SK TERISU,1,257,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,221,DAP,MANOGARAN,MALE,59,25,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,1,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,0,247,10,0
P.078_N.01_078/01/02_1,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,POS TELANUK,SK TELANOK,1,256,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,234,DAP,MANOGARAN,MALE,59,7,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,3,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,2,246,10,0
P.078_N.01_078/01/02_2,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,POS TELANUK,SK TELANOK,2,284,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,271,DAP,MANOGARAN,MALE,59,4,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,0,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,0,275,9,0
P.078_N.01_078/01/03_1,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/03,POS LEMOI,SK LEMOI,1,181,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,159,DAP,MANOGARAN,MALE,59,11,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,2,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,1,173,8,0
P.078_N.01_078/01/04_1,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/04,POS MENSUN,SK MENSON,1,219,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,200,DAP,MANOGARAN,MALE,59,5,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,1,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,2,208,11,0
P.078_N.01_078/01/04_2,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/04,POS MENSUN,SK MENSON,2,281,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,260,DAP,MANOGARAN,MALE,59,8,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,0,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,1,269,12,0
P.078_N.01_078/01/05_1,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,1,247,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,41,DAP,MANOGARAN,MALE,59,179,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,10,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,9,239,8,0
P.078_N.01_078/01/05_2,PAHANG,ORDINARY VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,2,272,BN - DIRECT,RAMLI BIN MOHD NOR,MALE,60,34,DAP,MANOGARAN,MALE,59,218,INDEPENDENT - BOOK,CIKGU HJ. SALLEHUDIN BIN HJ. AB. TALIB,MALE,61,3,INDEPENDENT - HOE,WONG SENG YEE,MALE,40,9,264,8,0
