UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS
P.217_N.67_217/67/02_4,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/02,SRI DAGANG,SEKOLAH MENENGAH KEBANGSAAN BARU BINTULU,4,210,PBB,ISKANDAR TURKEE,MALE,54,194,ASPIRASI,CHIENG LEA PHING,MALE,64,6,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,4,204,6,0
P.217_N.67_217/67/03_a1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,1,246,PBB,ISKANDAR TURKEE,MALE,54,230,ASPIRASI,CHIENG LEA PHING,MALE,64,9,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,5,244,2,0
P.217_N.67_217/67/03_a2,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,2,304,PBB,ISKANDAR TURKEE,MALE,54,279,ASPIRASI,CHIENG LEA PHING,MALE,64,10,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,10,299,5,0
P.217_N.67_217/67/03_a3,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,3,,PBB,ISKANDAR TURKEE,MALE,54,,ASPIRASI,CHIENG LEA PHING,MALE,64,,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,,,,
P.217_N.67_217/67/03_a4,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,4,406,PBB,ISKANDAR TURKEE,MALE,54,386,ASPIRASI,CHIENG LEA PHING,MALE,64,10,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,6,402,4,0
P.217_N.67_217/67/03_a5,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,5,372,PBB,ISKANDAR TURKEE,MALE,54,354,ASPIRASI,CHIENG LEA PHING,MALE,64,10,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,5,369,3,0
P.217_N.67_217/67/03_a6,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,6,,PBB,ISKANDAR TURKEE,MALE,54,,ASPIRASI,CHIENG LEA PHING,MALE,64,,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,,,,
P.217_N.67_217/67/03_a7,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,7,,PBB,ISKANDAR TURKEE,MALE,54,,ASPIRASI,CHIENG LEA PHING,MALE,64,,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,,,,
P.217_N.67_217/67/03_a8,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,8,,PBB,ISKANDAR TURKEE,MALE,54,,ASPIRASI,CHIENG LEA PHING,MALE,64,,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,,,,
P.217_N.67_217/67/03_a9,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN KAMPUNG JEPAK,9,,PBB,ISKANDAR TURKEE,MALE,54,,ASPIRASI,CHIENG LEA PHING,MALE,64,,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,,,,
P.217_N.67_217/67/03_b1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,RH. JOSHUA MANIT AK BUYU,1,312,PBB,ISKANDAR TURKEE,MALE,54,227,ASPIRASI,CHIENG LEA PHING,MALE,64,18,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,61,306,6,0
P.217_N.67_217/67/03_b2,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,RH. JOSHUA MANIT AK BUYU,2,272,PBB,ISKANDAR TURKEE,MALE,54,199,ASPIRASI,CHIENG LEA PHING,MALE,64,14,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,58,271,1,0
P.217_N.67_217/67/03_b3,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,RH. JOSHUA MANIT AK BUYU,3,233,PBB,ISKANDAR TURKEE,MALE,54,179,ASPIRASI,CHIENG LEA PHING,MALE,64,9,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,44,232,1,0
P.217_N.67_217/67/03_c1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN SG SETIAM,1,292,PBB,ISKANDAR TURKEE,MALE,54,208,ASPIRASI,CHIENG LEA PHING,MALE,64,18,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,49,275,17,0
P.217_N.67_217/67/03_c2,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN SG SETIAM,2,215,PBB,ISKANDAR TURKEE,MALE,54,170,ASPIRASI,CHIENG LEA PHING,MALE,64,14,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,27,211,4,0
P.217_N.67_217/67/03_d1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN SG SELAD,1,214,PBB,ISKANDAR TURKEE,MALE,54,136,ASPIRASI,CHIENG LEA PHING,MALE,64,34,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,43,213,1,0
P.217_N.67_217/67/03_d2,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN SG SELAD,2,196,PBB,ISKANDAR TURKEE,MALE,54,121,ASPIRASI,CHIENG LEA PHING,MALE,64,38,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,37,196,0,0
P.217_N.67_217/67/03_d3,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/03,JEPAK,SEKOLAH KEBANGSAAN SG SELAD,3,205,PBB,ISKANDAR TURKEE,MALE,54,124,ASPIRASI,CHIENG LEA PHING,MALE,64,40,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,38,202,3,0
P.217_N.67_217/67/04_a1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/04,SEGAN,RH. ATAN SG. SILAS,1,320,PBB,ISKANDAR TURKEE,MALE,54,256,ASPIRASI,CHIENG LEA PHING,MALE,64,25,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,33,314,6,0
P.217_N.67_217/67/04_b1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/04,SEGAN,SEKOLAH KEBANGSAAN ULU SEGAN,1,214,PBB,ISKANDAR TURKEE,MALE,54,143,ASPIRASI,CHIENG LEA PHING,MALE,64,17,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,50,210,4,0
P.217_N.67_217/67/04_b2,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/04,SEGAN,SEKOLAH KEBANGSAAN ULU SEGAN,2,203,PBB,ISKANDAR TURKEE,MALE,54,137,ASPIRASI,CHIENG LEA PHING,MALE,64,5,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,60,202,1,0
P.217_N.67_217/67/04_b3,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/04,SEGAN,SEKOLAH KEBANGSAAN ULU SEGAN,3,255,PBB,ISKANDAR TURKEE,MALE,54,169,ASPIRASI,CHIENG LEA PHING,MALE,64,10,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,72,251,4,0
P.217_N.67_217/67/04_b4,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/04,SEGAN,SEKOLAH KEBANGSAAN ULU SEGAN,4,168,PBB,ISKANDAR TURKEE,MALE,54,119,ASPIRASI,CHIENG LEA PHING,MALE,64,7,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,40,166,2,0
P.217_N.67_217/67/04_c1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/04,SEGAN,TABIKA KEMAS KUALA SEGAN,1,229,PBB,ISKANDAR TURKEE,MALE,54,218,ASPIRASI,CHIENG LEA PHING,MALE,64,2,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,7,227,2,0
P.217_N.67_217/67/05_1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/05,SUNGAI NYIGU,SEKOLAH KEBANGSAAN KG BARU,1,185,PBB,ISKANDAR TURKEE,MALE,54,171,ASPIRASI,CHIENG LEA PHING,MALE,64,10,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,2,183,2,0
P.217_N.67_217/67/05_2,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/05,SUNGAI NYIGU,SEKOLAH KEBANGSAAN KG BARU,2,226,PBB,ISKANDAR TURKEE,MALE,54,214,ASPIRASI,CHIENG LEA PHING,MALE,64,9,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,3,226,0,0
P.217_N.67_217/67/05_3,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/05,SUNGAI NYIGU,SEKOLAH KEBANGSAAN KG BARU,3,252,PBB,ISKANDAR TURKEE,MALE,54,246,ASPIRASI,CHIENG LEA PHING,MALE,64,2,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,2,250,2,0
P.217_N.67_217/67/05_4,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/05,SUNGAI NYIGU,SEKOLAH KEBANGSAAN KG BARU,4,218,PBB,ISKANDAR TURKEE,MALE,54,208,ASPIRASI,CHIENG LEA PHING,MALE,64,5,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,4,217,1,0
P.217_N.67_217/67/05_5,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/05,SUNGAI NYIGU,SEKOLAH KEBANGSAAN KG BARU,5,201,PBB,ISKANDAR TURKEE,MALE,54,193,ASPIRASI,CHIENG LEA PHING,MALE,64,5,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,3,201,0,0
P.217_N.67_217/67/05_6,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/05,SUNGAI NYIGU,SEKOLAH KEBANGSAAN KG BARU,6,187,PBB,ISKANDAR TURKEE,MALE,54,179,ASPIRASI,CHIENG LEA PHING,MALE,64,5,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,3,187,0,0
P.217_N.67_217/67/05_7,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/05,SUNGAI NYIGU,SEKOLAH KEBANGSAAN KG BARU,7,141,PBB,ISKANDAR TURKEE,MALE,54,137,ASPIRASI,CHIENG LEA PHING,MALE,64,2,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,1,140,1,0
P.217_N.67_217/67/06_1,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/06,RPR SEBIEW,SEKOLAH KEBANGSAAN BINTULU,1,208,PBB,ISKANDAR TURKEE,MALE,54,200,ASPIRASI,CHIENG LEA PHING,MALE,64,3,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,2,205,3,0
P.217_N.67_217/67/06_2,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/06,RPR SEBIEW,SEKOLAH KEBANGSAAN BINTULU,2,250,PBB,ISKANDAR TURKEE,MALE,54,240,ASPIRASI,CHIENG LEA PHING,MALE,64,2,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,8,250,0,0
P.217_N.67_217/67/06_3,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/06,RPR SEBIEW,SEKOLAH KEBANGSAAN BINTULU,3,204,PBB,ISKANDAR TURKEE,MALE,54,190,ASPIRASI,CHIENG LEA PHING,MALE,64,3,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,10,203,1,0
P.217_N.67_217/67/06_4,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/06,RPR SEBIEW,SEKOLAH KEBANGSAAN BINTULU,4,160,PBB,ISKANDAR TURKEE,MALE,54,149,ASPIRASI,CHIENG LEA PHING,MALE,64,4,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,6,159,1,0
P.217_N.67_217/67/06_5,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/06,RPR SEBIEW,SEKOLAH KEBANGSAAN BINTULU,5,150,PBB,ISKANDAR TURKEE,MALE,54,140,ASPIRASI,CHIENG LEA PHING,MALE,64,4,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,6,150,0,0
P.217_N.67_217/67/06_6,SARAWAK,NORMAL VOTE,P.217,BINTULU,N.67,JEPAK,217/67/06,RPR SEBIEW,SEKOLAH KEBANGSAAN BINTULU,6,113,PBB,ISKANDAR TURKEE,MALE,54,107,ASPIRASI,CHIENG LEA PHING,MALE,64,0,PBK,STEVENSON JOSEPH SUMBANG,MALE,42,6,113,0,0
