Category,SubCategory (if applicable),Total
1A (Police/Military/Media/EC Officers/Polling Staff),Police,11
1A (Police/Military/Media/EC Officers/Polling Staff),Military,83
1A (Police/Military/Media/EC Officers/Polling Staff),Polling Staff,84
1B (Overseas Malaysians),,8
1C (Selected Government Agencies),Malaysian Maritime Enforcement Agency,1
Absent Voters,,1
