TOTAL ELECTORATE,29664
ELECTORAL ROLL,Total Elector count using the 3rd Quarter Electoral Roll of 2019 that was gazetted on 21/11/2019
NOMINATION DAY,4/1/2020
EARLY VOTE DAY,14/1/2020
ORDINARY VOTE DAY,18/1/2020
ETHNIC COMPOSITION,"53.0% Muslim Bumiputera, 40% Non Muslim Bumiputera, 4.4% Chinese, 0.0% Indian, 2.4% Others"
VOTER TYPE COMPOSITION,"29654 Ordinary Voters, 9 Police Voters, 1 Absent Voters"
URBANISATION TYPE,Rural
TOTAL BALLOT ISSUED,23708
TOTAL VALID VOTES,23383
BN CANDIDATE (MOHAMAD BIN ALAMIN),12706
WARISAN CANDIDATE (KARIM BIN BUJANG),10677
TOTAL REJECTED VOTES,320
TOTAL UNRETURNED BALLOTS,5
TURNOUT (%),79.92
WINNING MAJORITY,2029
,
Sources,
https://www.spr.gov.my/sites/default/files/KM_97.2019_Kimanis%20Sabah.pdf,
https://www.spr.gov.my/sites/default/files/2020%20SIRI%201%20PRK%20KIMANIS-01.jpg,
Ethnic Composition Data is from Tindak Malaysia's estimation,
