UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH VOTE,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,match valid,match total
P.105_N.32_105/32/18_8,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/18,TAMAN TTDI JAYA,SEKOLAH KEBANGSAAN TAMAN TUN DR.ISMAIL JAYA SHAH ALAM,8,223,PKR,HALIMEY BIN ABU BAKAR,MALE,46,106,PAS,DR HALIMAH ALI,FEMALE,58,117,223,0,0,1,1
P.105_N.32_105/32/19_1,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,1,163,PKR,HALIMEY BIN ABU BAKAR,MALE,46,130,PAS,DR HALIMAH ALI,FEMALE,58,32,162,1,0,1,1
P.105_N.32_105/32/19_2,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,2,177,PKR,HALIMEY BIN ABU BAKAR,MALE,46,121,PAS,DR HALIMAH ALI,FEMALE,58,55,176,1,0,1,1
P.105_N.32_105/32/19_3,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,3,253,PKR,HALIMEY BIN ABU BAKAR,MALE,46,165,PAS,DR HALIMAH ALI,FEMALE,58,86,251,2,0,1,1
P.105_N.32_105/32/19_4,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,4,235,PKR,HALIMEY BIN ABU BAKAR,MALE,46,182,PAS,DR HALIMAH ALI,FEMALE,58,50,232,3,0,1,1
P.105_N.32_105/32/19_5,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,5,192,PKR,HALIMEY BIN ABU BAKAR,MALE,46,139,PAS,DR HALIMAH ALI,FEMALE,58,52,191,1,0,1,1
P.105_N.32_105/32/19_6,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,6,183,PKR,HALIMEY BIN ABU BAKAR,MALE,46,113,PAS,DR HALIMAH ALI,FEMALE,58,70,183,0,0,1,1
P.105_N.32_105/32/19_7,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,7,165,PKR,HALIMEY BIN ABU BAKAR,MALE,46,94,PAS,DR HALIMAH ALI,FEMALE,58,71,165,0,0,1,1
P.105_N.32_105/32/19_8,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,8,170,PKR,HALIMEY BIN ABU BAKAR,MALE,46,86,PAS,DR HALIMAH ALI,FEMALE,58,82,168,2,0,1,1
P.105_N.32_105/32/19_9,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/19,ARA DAMANSARA,SEKOLAH MENENGAH KEBANGSAAN LEMBAH SUBANG KELANA JAYA,9,196,PKR,HALIMEY BIN ABU BAKAR,MALE,46,104,PAS,DR HALIMAH ALI,FEMALE,58,92,196,0,0,1,1
P.105_N.32_105/32/20_4,SELANGOR,ORDINARY VOTE,P.105,PETALING JAYA,N.32,SERI SETIA,105/32/20,TAMAN GLENMARIE,"POLITEKNIK SULTAN SALAHUDDIN ABDUL AZIZ SHA, SHAH ALAM",4,224,PKR,HALIMEY BIN ABU BAKAR,MALE,46,146,PAS,DR HALIMAH ALI,FEMALE,58,71,217,7,0,1,1
