Category,SubCategory (if applicable),Total
1A (Police/Military/Media/EC Officers/Polling Staff),Polling Staff,106
1A (Police/Military/Media/EC Officers/Polling Staff),General Operations Force (PGA),93
1B (Overseas Malaysians),Overseas Malaysians,3
Absent Voters,Absent Voters,32
