TOTAL ELECTORATE,20259
ELECTORAL ROLL,"Electoral Roll based on Principal Electoral Roll of 2023 and updated until April 2024, which was gazetted on 21/5/2024"
NOMINATION DAY,3/8/2024
EARLY VOTE DAY,N/A
ORDINARY VOTE DAY,4/8/2018
ETHNIC COMPOSITION,"85.8% Malay, 0.1% Chinese, 0.0% Indian, 0.1% Bumiputera Sabah, 0.1% Bumiputera Sarawak, 13.4% Orang Asli, 0.5% Others"
VOTER TYPE COMPOSITION,"20245 Ordinary Voters, 14 Early Voters"
URBANISATION TYPE,Rural
TOTAL BALLOT ISSUED,14968
TOTAL VALID VOTES,14830
BN CANDIDATE (AWIE),9091
PN CANDIDATE (RIZWADIE ISMAIL),5739
TOTAL REJECTED VOTES,135
TOTAL UNRETURNED BALLOTS,3
TURNOUT (%),73.88
WINNING MAJORITY,3352
,
Sources,
https://web.facebook.com/photo?fbid=1046365406852577&set=pcb.1046365466852571,
https://www.hmetro.com.my/utama/2024/06/1105341/prk-dun-nenggiri-17-ogos-penamaan-calon-3-ogos,
https://web.facebook.com/photo.php?fbid=884422737046436&set=pb.100064361542679.-2207520000&type=3,
